Word,Abbreviation,Alt Abbreviation,Prime,Modifier -1,Modifier -2,Class,Definition,Create Date
Cheese,CHES,,,,,,,
Chemical,CHEM,,,,,,,
Chemist,CHEMT,,,,,,,
Cherry,CHRY,,,,,,,
Chess,CHSS,,,,,,,
Chestnut,CHSNT,,,,,,,
Chevrolet,CHEVY,,,,,,,
Chicken,CHICK,,,,,,,
Chief,CHF,,,,,,,
Chief Merchandising Officer,CMO,,,,,,,
Child,CHILD,CHILD,,X,X,,,
Children,CHLD,,,,,,,
Childrens,CHLD,,,,,,,
Chill,CHILL,,,X,X,,,
Chilled,CHILL,,,X,X,,,
Chimney,CHMNY,,,,,,,
Chinese,CHIN,,,,,,,
Chiropractic,CHIRO,,,,,,,
Chiropractor,CHIRO,,,,,,,
Chocolate,CHOC,,,,,,,
Choice,CHCE,,,,,,,
Choke,CHOKE,,,,,,,
Chose,CHOSE,,,,,,,
Christ,CHRST,,,,,,,
Christian,CHRST,,,,,,,
Chronicle,CHNCL,,,,,,,
Chrysler,CHRYS,,,,,,,
Church,CHUR,,,,,,,
Cigar,CIGAR,,,,,,,
Cigarette,CIG,,,,,,,
Cinema,CINMA,,,,,,,
Circle,CIR,,,,,,,
Circuit,CIRCT,,,,,,,
Circular,CIRC,,,,,,,
Circus,CRCUS,,,,,,,
Citizen,CTZN,,,,,,,
Citizenship,CTZNSP,,,,,,,
Citrus,CTRUS,,,,,,,
City,CITY,,,,,,,
Civic,CVC,,,,,,,
Civil,CVL,,,,,,,
Claim,CLAIM,CLAIM,,X,X,,,
Claims,CLM,,,,,,,
Class,CLASS,CLASS,,X,X, ,Do not use by itself. Teradata reserved word.  This is a value used to classify objects e.g. Product.  Use NM as classword instead. E.g. INBOUND_ITEM_CLASS_NM,
Classed,CLASS,,,,,,,
Classic,CLASC,,,,,,,
Classification,CLSFCTN,CLSFCTN,,X,,,,
Classifier,CLSFR,CLSFR,,X,X,,,
Classing,CLASS,,,,,,,
Clause,CLAUS,,,,,,,
Clauses,CLAUS,,,,,,,
Clean,CLEAN,,,X,X,,,
Cleanliness,CLEAN,,,X,X,,E.g. Cleanliness Score Value captured from customer survey,
Cleaner,CLEANR,,,X,,,,
Cleaning,CLEAN,CLNG,,X,X,,,
Cleanser,CLEANSR,,,X,X,,,
Clear,CLR,,,,,,,
Clearance,CLRNC,,,,,,,
Cleared,CLR,,,,,,,
Clearing,CLR,,,,,,,
Clergy,CLRGY,,,,,,,
Clerk,CLRK,,,,,,,
Click Stream Data,CSD,CSD,X,,,,Clickstream data subject area. Everything to do with user sessions and activity on a website.,
Clickstream Data,CSD,CSD,X,,,,Clickstream data subject area. Everything to do with user sessions and activity on a website.,
Client,CLNT,CLNT,,X,X,,Client as in a customer OR in IT as in Client-Server.,
Cliff,CLF,,,,,,,
Climate,CLMT,,,,,,,
Climatic,CLIMT,,,,,,,
Clinic,CLNC,,,,,,,
Clinical,CLNCL,,,,,,,
Clipper,CLPPR,,,,,,,
Clock,CLK,,,,,,,
Clocked,CLKD,,,,,,,
Close,CLOSE,,,,,,,
Closed,CLSD,,,,,,,
Closet,CLSET,,,,,,,
Closing,CLSG,,,,,,,
Clothes,CLTHS,,,,,,,
Clothier,CLTHR,,,,,,,
Clothing,CLTHG,,,,,,,
Cloud,CLOUD,,,,,,,
Club,CLUB,,,,,,,
Clubhouse,CLBHS,,,,,,,
Cluster,CLUST,,,,,,,
Clutch,CLTCH,,,,,,,
Coach,COACH,,,,,,,
Coast,COAST,,,,,,,
Coastal,COAST,,,,,,,
Coat,COAT,,,,,,,
Coated,COATD,,,,,,,
Coating,COATG,,,,,,,
Cobol,CBL,,,,,,,
Cockpit,CCKPT,,,,,,,
Cocoa,CCO,,,,,,,
Code,CD,CD,,,,X,A coded column which uses a system of numbers and/or letters for values which represent an assigned meaning.One or more letters or numbers that; in a given context; have a specific meaning or interpretation. Often requires a separate table to look up the code's meaning.,
Coded,CD,,,,,,,
Codes,CDS,,,,,,,
Coding,CDG,,,,,,,
Coefficient,COEFF,,,,,,,
Coffee,COF,,,,,,,
Coil,COIL,,,,,,,
Coiled,COILD,,,,,,,
Collateral,COLTL,,,,,,,
Colleague,COLLG,,,X,X,,,
Collect,COLL,COL,,X,X,,The verb,
Collectable,COLL,,,,,,,
Collected,COLL,COLL,,X,X,,Derivative of the verb 'collect',
Collection,COLL,,,,,,,
Collector,COLL,,,,,,,
College,COLG,,,,,,,
Collegiate,COLGT,,,,,,,
Collision,CLLSN,,,,,,,
Colonel,COLNL,,,,,,,
Colonial,CLNL,,,,,,,
Colony,CLNY,,,,,,,
Color,COLOR,,,,,,,
Colorado,CO,,,,,,,
Colossal,CLSSL,,,,,,,
Column,COL,,,,,,,
Combination,COMBN,,,,,,,
Combine,COMB,,,,,,,
Combined,COMBD,,,,,,,
Combustion,CMBSN,,,,,,,
Comfort,CMFRT,,,,,,,
Comingle,COMGL,,,,,,,
Command,CMD,,,,,,,
Commandant,CMDNT,,,,,,,
Commander,CMDR,,,,,,,
Commanding,CMD,,,,,,,
Commands,CMD,,,,,,,
Commence,CMNCE,,,,,,,
Commencement,CMNCT,,,,,,,
Comment,CMNT,CMNT,,X,,,,
Comments,CMT,,,,,,,
Commerce,CMRCE,,,,,,,
Commercial,CMCRL,,,,,,,
Commingle,COMGL,,,,,,,
Commingled,COMGL,,,,,,,
Commissary,COMSY,,,,,,,
Commission,COMM,COMM,,X,X,,,
Commissioner,COMMR,,,,,,,
Commissions,COMSN,,,,,,,
Commit,CMT,CMT,,X,,,,
Committal,COMTL,,,,,,,
Committed,CMT,CMT,,X,,,The action to,
Committee,COMTE,,,,,,,
Committment,COMMIT,,,,,,,
Commodity,COMMODITY,,,,,,,
Commodore,CMDRE,,,,,,,
Common,COM,,,,,,,
Commonwealth,COMWH,,,,,,,
Commune,CMUNE,,,,,,,
Communicate,COMMU,,,,,,,
Communication,COMM,COMM,,X,,,Communication,
Communications,COMM,,,,,,,
Communique,COMM,,,,,,,
Community,COMM,COMM,,X,X,,Community as in a group.,
Company,CMPNY,,,,,,,
Comparable,COMP,,,X,X,,,
Comparative,COMP,,,,,,,
Compare,CMP,CMP,,X,X,,,
Comparison,COMP,,,,,,,
Compatibility,CMPAT,,,,,,,
Compatible,CMPAT,,,,,,,
Compensated,COMPD,,,,,,,
Compensation,COMP,,,,,,,
Competition,CMPET,,,,,,,
Competitive,CMPET,,,,,,,
Competitive Adjusted Pricing,CAP,CAP,,X,X,,Walmart price will be automatically adjusted according to the competitor's price,
Competitor,COMP,COMP,,X,X,,,
Compiler,CMPLR,,,,,,,
Complaints,COMPLNT,COMPLNT,,X,X,,A complaint is negative feedback received from a customer usually.,
Complement,CPLMT,,,,,,,
Complete,CMPLT,CMPL,,X,,,"The status for an event. For example, a completed transaction.",
Completed,CPLT,,,,,,,
Completion,CMPL,CMPL,,X,X,,Derivative form of the verb complete,
Complex,CMPLX,,,,,,,
Complexity,CMPLX,,,,,,,
Comply,CMPLY,CMPLY,,X,X,,,
Compliance,CMPLY,CMPLY,,X,X,,e.g. Cold Chain Compliance,
Component,COMP,COMP,,X,X,,,
Components,CMPNT,,,,,,,
Compose,CPOSE,,,,,,,
Composite,CPSIT,,,,,,,
Composition,CPSITN,,,,,,,
Compound,CMPND,,,,,,,
Compounding,CMPND,,,,,,,
Comprehensive,CPRHV,,,,,,,
Compress,CMPRS,,,,,,,
Compression,CMPRS,,,,,,,
Compressor,CMPRS,,,,,,,
Comptroller,CMTLR,,,,,,,
Computation,CMPUT,,,,,,,
Computed,CMPUT,,,,,,,
Computer,CMPUT,,,,,,,
Computerized,CMPUT,,,,,,,
Computing,CMPUT,,,,,,,
Concatenate,CCAT,,,,,,,
Concatenated,CCAT,,,,,,,
Concatenation,CCAT,,,,,,,
Concentrate,CONC,,,,,,,
Concept,CNCPT,,,,,,,
Concession,CNCES,,,,,,,
Concourse,CNCRS,,,,,,,
Concrete,CCRET,,,,,,,
Condensate,CNDNS,,,,,,,
Condition,COND,COND,,X,X,,,
Conditioning,COND,,,,,,,
Condominium,CONDO,,,,,,,
Conducted,CNDCT,,,,,,,
Conductivity,CNDTV,,,,,,,
Cone,CONE,,,,,,,
Confectionery,CNFCT,,,,,,,
Confederated,CNFED,,,,,,,
Confederation,CNFED,,,,,,,
Confer,CNFR,,,,,,,
Conference,CONF,CONF,,X,,,,
Confidential,CNFID,,,,,,,
Configurable,CONFIG,CONFIG,,X,X,,,
Configuration,CONFIG,CONFIG,,X,X,,,
Confirm,CONF,CONF,,X,X,,,
Confirmation,CONF,CONF,,X,X,,,
Confirmed,CNFRM,,,,,,,
Confirming,CNFRM,,,,,,,
Conflict,CNFLT,,,,,,,
Congregation,CGRGN,,,,,,,
Congregational,CGRGN,,,,,,,
Congress,CNGRS,,,,,,,
Congressional,CNGRL,,,,,,,
Congressman,CNGRM,,,,,,,
Connect,CONN,,,,,,,
Connected,CONN,,,,,,,
Connecticut,CT,,,,,,,
Connecting,CONN,,,,,,,
Connection,CONN,,,,,,,
Connector,CONN,,,,,,,
Consecutive,CNSCT,,,,,,,
Conservation,CSERV,,,,,,,
Conservatory,CSERV,,,,,,,
Consideration,CNSDR,,,,,,,
Considerations,CNSDR,,,,,,,
Consign,CNSGN,CNSGN,,X,X,,The act of assigning a consignment to a consignee.,
Consignee,CNEE,CNEE,,X,X,,The individual to whom MDSE is delivered,
Consignment,CNMT,CNMT,,X,X,,A batch of goods intended for delivery,
Consolation,CONSL,,,,,,,
Consolidate,CNSLD,,,,,,,
Consolidated,CNSLD,,,,,,,
Consolidation,CNSLD,,,,,,,
Consolidator,CNSLD,,,,,,,
Consortium,CSRTM,,,,,,,
Constant,CSTNT,,,,,,,
Construct,CONST,,,,,,,
Constructing,CONST,,,,,,,
Construction,CONST,,,,,,,
Constructor,CONST,,,,,,,
Consult,CNSLT,CNSLT,,X,,,,
Consultant,CNSLT,,,,,,,
Consultation,CNSLT,,,,,,,
Consulting,CNSLT,,,,,,,
Consumable,CNSMBL,CSUMB,,,,,,
Consume,CONS,CONS,,X,X,,The verb.,
Consumer,CONS,CONS,,X,X,,,
Consumption,CONS,CONS,,X,X,,Derivate of the verb.,
Contact,CNTCT,CNTCT,,X,,,,
Contain,CTN,,,,,,,
Container,CNTNR,CNTNR,,X,,,,
Contemporary,CTMPY,,,,,,,
Content,CTENT,,,,,,,
Contention,CTENT,,,,,,,
Contents,CTENT,,,,,,,
Contest,CNTST,,,,,,,
Context,CNTXT,CNTXT,,X,X,,"The context or runtime environment for a process, for example.",
Contextual,CNTXT,CNTXT,,X,X,,Derivative of context.,
Continent,CNTNT,CNTNT,,X,,,A geographical continent area.,
Continental,CTNTL,,,,,,,
Contingency,CNTGY,,,,,,,
Contingent,CNTGT,,,,,,,
Continuatton,CONT,,,,,,,
Continue,CONT,,,,,,,
Continuing,CONT,,,,,,,
Continuous,CONT,,,,,,,
Contract,CNTRT,,,,,,,
Contracting,CNTRT,,,,,,,
Contractor,CNTRT,,,,,,,
Contracts,CNTRT,,,,,,,
Contractual,CNTRT,,,,,,,
Contribute,CNTRB,,,,,,,
Contributed,CNTRB,,,,,,,
Contribution,CNTRB,,,,,,,
Contribution_Profit,CP,CP,X,X,X,,,3/19/2018
Contribution Profit Report,CPR,CPR,,X,X,,,Contribution Profit is a specific term which indicates how much an item is contributing towards profit and Contribution Profit Report is a term for bunch of items which will be part of Contribution Profit.
Control,CNTRL,,,,,,,
Controlled,CNTRL,,,,,,,
Controller,CNTLR,,,,,,,
Controlling,CNTRL,,,,,,,
Controls,CNTRL,,,,,,,
Convalescent,CONVL,,,,,,,
Convenience,CONVC,CONVC,,X,X,,,
Convenient,CONVT,,,,,,,
Convent,CVNT,,,,,,,
Convention,CVNTN,,,,,,,
Conversational,CNVRS,,,,,,,
Converse,CNVRS,,,,,,,
Conversion,CONV,CONV,,X,X,,"Conversion from one unit to another. For example, currency or prospect to customer etc.",
Convert,CNVRT,,,,,,,
Converted,CNVRT,,,,,,,
Converter,CNVRT,,,,,,,
Convertible,CNVRT,,,,,,,
Convey,CONVEY,,,,,,,
Conveyable,CONVEY,,,,,,,
Conveyor,CONVEY,,,,,,,
Cooked,COOKD,,,,,,,
Cookie,COOKE,,,,,,,
Cooling,COOL,,,,,,,
Coop,COOP,,,,,,,
Cooperate,COOP,,,,,,,
Cooperative,COOP,,,,,,,
Coordinate,COORD,,,,,,,
Coordination,COORD,,,,,,,
Coordinator,COORD,,,,,,,
Copied,COPY,,,,,,,
Copier,COPY,,,,,,,
Copies,COPY,,,,,,,
Copper,COP,,,,,,,
Copy,COPY,,,,,,,
Core,CORE,,,,,,,
Corner,CORNR,,,,,,,
Coroner,CRONR,,,,,,,
Corporal,CORPL,,,,,,,
Corporate,CORP,CORP,,X,X,,,
Corporation,CORP,,,,,,,
Correct,CORR,CORR,,X,X,,,
Corrected,CRCT,,,,,,,
Correction,CRCT,,,,,,,
Correctional,CRCTN,,,,,,,
Correspond,CORSP,,,,,,,
Correspondence,CORSP,,,,,,,
Correspondent,CORSP,,,,,,,
Corresponding,CORSP,,,,,,,
Corrosion,CORRO,,,,,,,
Corrugated,CRGTD,,,,,,,
Cosmetic,CSMTC,,,,,,,
Cosmetologist,COSMG,,,,,,,
Cost,COST,,,,,,,
Costing,COST,,,,,,,
Cottage,CTG,,,,,,,
Cotton,COT,,,,,,,
Council,CONCL,,,,,,,
Counciling,CONCL,,,,,,,
Counsel,CNSL,,,,,,,
Counseling,CNSL,,,,,,,
Counsellor,CNSL,,,,,,,
Counselor,CNSL,,,,,,,
Count,CNT,CNT,,,,X,Count is used when incremented by one when the presence of an Individual object is determined.  Definition of object: The thing or entity being counted.The number of items which are of the same type such as clicks on a web site or items in a warehouse.,
Counted,CNT,,,,,,,
Counter,CNTR,,,,,,,
Counters,CNTR,,,,,,,
Country,CNTRY,CNTRY,,X,,,,
Counts,CNT,,,,,,,
county,CNTY,COUNTY,,,,,,
Coupe,CP,,,,,,,
Coupon,COUPN,,,,,,,
Coupons,COUPN,,,,,,,
Courier,COUR,,,,,,,
Course,CRS,,,,,,,
Court,CT,,,,,,,
Courtesy,CRTSY,,,,,,,
Covenant,CVNNT,,,,,,,
Cover,CVR,CVR,,X,X,,,
Coverage,COVRG,,,,,,,
Covered,CVR,CVR,,X,X,,,
Covering,COVR,,,,,,,
Cowboy,CWBY,,,,,,,
Craft,CRFT,,,,,,,
Crafter,CRFT,,,,,,,
Crafts,CRFT,,,,,,,
Craftsman,CRFTM,,,,,,,
Craftsmen,CRFTM,,,,,,,
Crane,CRANE,,,,,,,
Crazy,CRZY,,,,,,,
Cream,CRM,,,,,,,
Creamery,CRMRY,,,,,,,
Create,CREATE,CREATE,,,,,,
Created,CREATE,CRE,,,X,,,
Creating,CREATE,CREATE,,,,,,
Creation,CRE,CRE,,X,X,,Derivative of the verb.,
Creative,CRTV,CRTV,,X,X,,Creative used for digital advertisements for example.,
Creator,CRE,CRE,,X,,,,
Credit,CR,CR,,X,X,,A positive amount in finance for the recipient,
Credited,CR,,,,,,,
Creek,CRK,,,,,,,
Crepe,CRP,,,,,,,
Crescent,CRES,,,,,,,
Crest,CREST,,,,,,,
Crew,CRW,,,,,,,
Crewhours,CRWHR,,,,,,,
Criminal,CRMNL,,,,,,,
Criteria,CRITA,,,,,,,
Critical,CRTCL,,,,,,,
Crockery,CRKRY,,,,,,,
Cross,CROSS,,,,,,,
Crossing,XING,,,,,,,
Crossroad,XROAD,,,,,,,
Crown,CRWN,,,,,,,
Crude,CRUDE,,,,,,,
Crudes,CRUDE,,,,,,,
Cruise,CRUS,,,,,,,
Crusade,CRSD,,,,,,,
Crusader,CRSDR,,,,,,,
Crust,CRUST,,,,,,,
Cryogenic,CRYOG,,,,,,,
Crystal,CRYSL,,,,,,,
Cuisine,CSN,,,,,,,
Cultural,CLTRL,,,,,,,
Cumulative,CUM,,,,,,,
Cupboard,CPBRD,,,,,,,
Curator,CURTR,,,,,,,
Currency,CRNCY,CRNCY,X,X,X,,Currency _ monetary unit of measure for transactions.,
Current,CURR,CURR,,X,X,,Current,
Curriculum,CRCLM,,,,,,,
Cursor,CSR,,,,,,,
Curtain,CURTN,,,,,,,
Curve,CURVE,,,,,,,
Custodian,CSTDN,,,,,,,
Custom,CSTM,,,,,,,
Customary,CSTMY,,,,,,,
Customer,CUST,CUST,X,,,,Customer,
Customer Service,CS,CS,X,,,,Customer Service,
Customer Service Representative,CSR,CSR,,X,X,,,
Customize,CSTMZ,,,,,,,
Customs,CSTMS,,,,,,,
Cut,CUT,,,,,,,
Cute,CUTE,,,,,,,
Cutlery,CUTLY,,,,,,,
Cutting,CUT,,,,,,,
Cybernetic,CYBRN,,,,,,,
Cyborg,CYBG,,,,,,,
Cycle,CYC,,,,,,,
Cylinder,CYL,,,,,,,
Cylinders,CYLS,,,,,,,
Daily,DLY,DLY,,X,X,,A daily measure for some entity.,
Dairy,DAIRY,,,,,,,
Damage,DMG,,,,,,,
Damaged,DMGD,,,,,,,
Dance,DNC,,,,,,,
Dash,DASH,,,,,,,
Data,DATA,,,,,,,
Database,DB,,,,,,,
Dataset,DS,,,,,,,
Date,DT,DT,,,,X,"The point in time; stated in terms of day; month and year; at which something happened; existed or is to happen.  If there is a time part, use class word TS.",
Dates,DATES,,,,,,,
Datum,DATA,,,,,,,
Daughter,DGHTR,,,,,,,
Day,Day,DAY,,X,X,,,
Days,DYS,,,,,,,
Deacon,DCN,,,,,,,
Deactivate,DEATV,DEATV,,X,X,,,
Deactivated,DEATVD,DEATVD,,X,X,,2019-06-25 Inserted o support existing usage (21 occurences) in datalake.,
Deadline,DEADL,,,,,,,
Deal,DL,,,,,,,
Dealer,DLR,,,,,,,
Dealing,DLG,,,,,,,
Death,DEATH,,,,,,,
Debit,DEBIT,DEBIT,,X,X,,Debit as a financial transaction,
Debt,DEBT,,,,,,,
Debtor,DEBTR,,,,,,,
Decade,DECAD,,,,,,,
Decagram,DKG,,,,,,,
Decal,DECAL,,,,,,,
Decaliter,DKL,,,,,,,
Decameter,DKM,,,,,,,
December,DEC,,,,,,,
Deciliter,DL,,,,,,,
Decimal,DECML,,,,,,,
Decimals,DECML,,,,,,,
Decimeter,DM,,,,,,,
Decision,DCSN,,,,,,,
Declaration,DCLRN,,,X,X,,Customs import declaration and charges data from Damco,
Deconsolidation,DCNSLD,,,X,X,,place of deconsolidation name - Devan location (already passed customs),
Decor,DECOR,,,,,,,
Decorating,DECOR,,,,,,,
Decoration,DECOR,,,,,,,
Decorator,DECOR,,,,,,,
Decrease,DCRS,DCRS,,X,X,,,
Dectgram,DG,,,,,,,
Dedicated,DED,,,,,,,
Deduct,DEDCT,,,,,,,
Deduction,DEDCT,,,,,,,
Deductions,DEDCT,,,,,,,
Deducts,DEDCT,,,,,,,
Default,DFLT,DFLT,,X,X,,,
Defect,DFCT,,,,,,,
Defective,DEFECTIVE,,,,,,,
Defer,DEFR,,,,,,,
Deferred,DEFR,,,,,,,
Deficiency,DEFCY,,,,,,,
Deficit,DFICT,,,,,,,
Define,DEF,,,,,,,
Definer,DEF,,,,,,,
Definite,DEFNT,,,,,,,
Definition,DEF,,,,,,,
Definitions,DEF,,,,,,,
Degree,DGR,DGR,, X,X, ,Measurement of temperature; latitude; and longitude.  Use QTY as classword instead. E.g. PACK_TEMPR_DGR_QTY,
Delaware,DE,,,,,,,
Delay,DELAY,,,,,,,
Delete,DEL,DEL,,X,X,,Delete the verb,
Deleted,DEL,DEL,,X,X,,"Deleted, removed.",
Delicatessen,DELI,,,,,,,
Delight,DLHT,,,,,,,
Delimiter,DLMT,,,,,,,
Delinquent,DELQ,,,,,,,
Delinting,DLNTG,,,,,,,
Deliver,DLVR,DLVR,,X,X,,Deliver - the verb,
Deliverance,DLVR,,,,,,,
Delivered,DLVR,DLVR,,X,X,,Derivation of the verb.,
Deliveries,DLVR,,,,,,,
Delivery,DLVR,DLVR,,X,,,"Delivery of items, shipment etc.  For example DLVR_DT =",
Delivery From Store,DFS,DFS,,X,X,,Delivery of items from store via the Last Mile Delivery carriers.  ,
Delta,DELTA,,,,,,,
Demand,DMAND,,,,,,,
Democratic,DEM,,,,,,,
Demographics,DMGRPHS,DMGRPHS,,X,X,,,
Demolition,DEMLN,,,,,,,
Demonstration,DEMO,,,,,,,
Demur,DEMUR,,,,,,,
Demurrage,DEMUR,,,,,,,
Denomination,DENOM,,,X,X,,,
Denominator,DENOM,,,X,X,,,
Dense,DENSE,,,,,,,
Density,DENSE,,,,,,,
Dental,DNTL,,,,,,,
Dentist,DDS,,,,,,,
Dentistry,DNTRY,,,,,,,
Denture,DENTR,,,,,,,
Departed,DEP,DEP,,X,X,,Derivative of the verb.,
Department,DEPT,DEPT,,X,X,,,
Departments,DEPTS,,,,,,,
Departure,DEP,DEP,,X,X,,To leave,
Dependable,DPEND,,,,,,,
Dependent,DEP,,,,,,,
Dependents,DEP,,,,,,,
Depending,DEPG,,,,,,,
Depletion,DEPLN,,,,,,,
Deposit,DEPOS,,,,,,,
Depository,DEPOS,,,,,,,
Depot,DEPOT,,,,,,,
Depreciation,DEPR,,,,,,,
Depth,DP,,,,,,,
Deputy,DPTY,,,,,,,
Dequeue,DEQUE,,,,,,,
Derive,DERIV,,,,,,,
Descending,DSC,,,,,,,
Description,DESC,DESC,,,,X,Textual information that is standardized for describing the meaning of a Code value.  ,
Descriptive,DESC,,,,,,,
Descriptor,DESCP,,,,,,,
Desert,DSRT,,,,,,,
Design,DSGN,,,,,,,
Designate,DESIG,,,,,,,
Designated,DESIG,,,,,,,
Designated Market Area,DMA,DMA,,x,x,,"Designated Market Area is maintained by  Neilson and can be assigned to a Store, Club, Competitor",
Designation,DESIG,DESIG,,X,X,,"Designation of an individual in a Corporate Organization. For example, VP, SVP etc.",
Designator,DESIG,,,,,,,
Designer,DSGNR,,,,,,,
Designing,DSGNG,,,,,,,
Desired,DESIR,,,,,,,
Destination,DEST,DEST,,X,X,,Final resting place,
Detail,DTL,DTL,,X,X,,,
Detailed,DTLD,,,,,,,
Details,DTLS,,,,,,,
Detect,DETCT,,,,,,,
Detectable,DETCT,,,,,,,
Detection,DETCT,,,,,,,
Detective,DET,,,,,,,
Detention,DETN,,,,,,,
Deter,DETER,,,,,,,
Determine,DETRM,,,,,,,
Determined,DETRM,,,,,,,
Develop,DVEL,,,,,,,
Developed,DVEL,,,,,,,
Developer,DVELR,,,,,,,
Development,DVEL,,,,,,,
Developmental,DVEL,,,,,,,
Deviate,DEVIA,,,,,,,
Deviation,DEVIA,,,,,,,
Device,DEV,DEV,,X,X,,"An instrument for interfaces.  Such as tablet, mouse etc.",
Devices,DEV,,,,,,,
Diagnosis,DGNOS,,,,,,,
Diagnostic,DGNOS,,,,,,,
Diagram,DIGRM,,,,,,,
Diameter,DIA,,,,,,,
Diamond,DMND,,,,,,,
Diaper,DPR,,,,,,,
Dictator,DCTTR,,,,,,,
Dictionary,DICT,,,,,,,
Diesel,DIESL,,,,,,,
Dietary,DIET,,,,,,,
Dietetic,DIETC,,,,,,,
Difference,DIFF,,,,,,,
Different,DIFF,,,,,,,
Differential,DIFF,,,,,,,
Diffusion,DIFSN,,,,,,,
Digest,DGST,,,,,,,
Digestive,DGSTV,,,,,,,
Digit,DGT,,,,,,,
Digital,DGTL,,,,,,,
Diligence,DLGNC,,,,,,,
Diluent,DIL,,,,,,,
Dimension,DIM,DIM,,X,X,,"As in the spatial view of an object. Height, Weight etc. Not to be confused with dimension BI concept.",
Dimensional,DIML,,,,,,,
Dimensions,DIMS,,,,,,,
Diner,DNR,,,,,,,
Diocese,DIO,,,,,,,
Diode,DIOD,,,,,,,
Dip,DIP,,,,,,,
Direct,DIR,,,,,,,
Direction,DIRN,,,,,,,
Directional,DIRNL,,,,,,,
Director,DRCTR,,,,,,,
Directorate,DRCTR,,,,,,,
Directory,DIR,,,,,,,
Disability,DSABL,,,,,,,
Disabled,DSABL,,,,,,,
Disallow,DISALLOW,DISALLOW,,X,X,,Not allow,
Disallowed,DISALLOW,DISALLOW,,X,X,,Derivative of the verb,
Disarmament,DSARM,,,,,,,
Disaster,DISAS,,,,,,,
Disbursement,DSBRS,,,,,,,
Disbursements,DSBRS,,,,,,,
Discharge,DCHRG,,,,,,,
Discharges,DCHRG,,,,,,,
Discipline,DSCPL,,,,,,,
Disconnection,DSCON,,,,,,,
Discount,DISC,DISC,,X,X,,,
Discounts,DISC,,,,,,,
Discover,DISCV,,,,,,,
Discovered,DISCV,,,,,,,
Discovery,DISCV,,,,,,,
Discrepancy,DSCRP,,,,,,,
Discrimination,DSCRM,,,,,,,
Disease,DISEA,,,,,,,
Disk,DISK,,,,,,,
Dispatch,DSPTH,,,,,,,
Dispatcher,DSPTH,,,,,,,
Dispensary,DSPNS,,,,,,,
Dispensed,DSPNS,,,,,,,
Dispense,DSPNS,,,,,,,
Displacement,DISPL,,,,,,,
Display,DISP,DISP,,X,X,,,
Displayable,DSPLY,,,,,,,
Displayed,DSPLY,,,,,,,
Disposal,DSPSL,,,,,,,
Disposition,DSPSTN,DSPSTN,,X,,,Disposition as a result of some process. Such as disposition in the health industry.,
Dispute,DSPUT,,,,,,,
Disputed,DSPUT,,,,,,,
Distance,DISTN,,,,,,,
Distillate,DSTIL,,,,,,,
Distiller,DSTIL,,,,,,,
Distillery,DSTIL,,,,,,,
Distinctive,DSTNC,,,,,,,
Distribute,DISTR,DISTR,,X,X,,Distribute the verb,
Distributed,DISTR,DISTR,,X,X,,Derivative of the verb,
Distributing,DISTR,,,,,,,
Distribution,DISTR,DISTR,,X,X,,Derivative of the verb,
Distribution Center,DC,DC,X,X,X,,Distribution Center in supply chain.,
Distributor,DSTRBTR,DSTRBTR,,X,,,A Facility from where an item is typically stored & distributed,
District,DIST,,,,,,,
Diversion,DVRSN,,,,,,,
Divide,DV,,,,,,,
Dividend,DVDND,,,,,,,
Diving,DIVE,,,,,,,
Division,DIV,DIV,,X,X,,Division within a store OR Division as the math op,
Division Merchandise Manager,DMM,,,,,,,
Divisional,DIVL,,,,,,,
Dock,DOCK,,,,,,,
Docket,DOCKT,,,,,,,
Doctor,DR,,,,,,,
Document,DOC,DOC,,X,,,,
Documentation,DOCN,,,,,,,
Documents,DOCS,,,,,,,
Dodge,DDG,,,,,,,
Dollar,DLLR,,,,,,,
Dollars,DLLR,,,,,,,
Domain,DOMAIN,DOMAIN,,X,X,,Do not use by itself; Teradata reserved word.,
Domestic,DOM,,,,,,,
Domicile,DOMCL,,,,,,,
Dominion,DOMNN,,,,,,,
Donate,DONATE,DONATE,,X,X,,,
Donated,DONATE,DONATE,,X,X,,,
Donation,DONATE,DONATE,,X,X,,,
Done,DONE,,,,,,,
Donut,DONUT,,,,,,,
Dormant,DORMT,,,,,,,
Double,DBL,,,,,,,
Doughnut,DONUT,,,,,,,
Down,DWN,,,,,,,
Downgrade,DOWNGRADE,DNGR,,X,X,,,
Download,DWNLD,DWNLD,,X,X,,Download as in software download,
Downtown,DWNTN,,,,,,,
Dozen,DZ,,,,,,,
Draft,DRFT,,,,,,,
Drafted,DRFTD,,,,,,,
Drafting,DRFTG,,,,,,,
Draftsman,DFTMN,,,,,,,
Dragon,DRGN,,,,,,,
Drain,DRN,,,,,,,
Drainage,DRNG,,,,,,,
Dram,DR,,,,,,,
Drama,DRMA,,,,,,,
Draperies,DRAP,,,,,,,
Drapery,DRAP,,,,,,,
Draw,DRW,,,,,,,
Drawdown,DRWDN,,,,,,,
Drawdowns,DRWDN,,,,,,,
Drawer,DRWR,,,,,,,
Drawing,DRWG,,,,,,,
Drawings,DRWGS,,,,,,,
Drawn,DRWN,,,,,,,
Dream,DRM,,,,,,,
Dress,DRS,,,,,,,
Drill,DRL,,,,,,,
Drilled,DRLD,,,,,,,
